"Country","Region","Poverty"
"Lao People's Democratic Republic","East Asia and the Pacific",0.164
"Lao People's Democratic Republic","East Asia and the Pacific",0.063
"Lao People's Democratic Republic","East Asia and the Pacific",0.063
"Lao People's Democratic Republic","East Asia and the Pacific",0.2
"Lao People's Democratic Republic","East Asia and the Pacific",0.262
"Lao People's Democratic Republic","East Asia and the Pacific",0.359
"Lao People's Democratic Republic","East Asia and the Pacific",0.254
"Lao People's Democratic Republic","East Asia and the Pacific",0.149
"Lao People's Democratic Republic","East Asia and the Pacific",0.215
"Liberia","Sub-Saharan Africa",0.407
"Liberia","Sub-Saharan Africa",0.508
"Liberia","Sub-Saharan Africa",0.505
"Liberia","Sub-Saharan Africa",0.527
"Liberia","Sub-Saharan Africa",0.482
"Liberia","Sub-Saharan Africa",0.349
"Liberia","Sub-Saharan Africa",0.48
"Liberia","Sub-Saharan Africa",0.457
"Liberia","Sub-Saharan Africa",0.364
"Liberia","Sub-Saharan Africa",0.388
"Liberia","Sub-Saharan Africa",0.25
"Liberia","Sub-Saharan Africa",0.377
"Liberia","Sub-Saharan Africa",0.536
"Liberia","Sub-Saharan Africa",0.433
"Liberia","Sub-Saharan Africa",0.445
"Lesotho","Sub-Saharan Africa",0.106
"Lesotho","Sub-Saharan Africa",0.149
"Lesotho","Sub-Saharan Africa",0.106
"Lesotho","Sub-Saharan Africa",0.131
"Lesotho","Sub-Saharan Africa",0.082
"Lesotho","Sub-Saharan Africa",0.178
"Lesotho","Sub-Saharan Africa",0.291
"Lesotho","Sub-Saharan Africa",0.173
"Lesotho","Sub-Saharan Africa",0.151
"Lesotho","Sub-Saharan Africa",0.267
"Morocco","Arab States",0.017
"Morocco","Arab States",0.102
"Morocco","Arab States",0.084
"Morocco","Arab States",0.066
"Morocco","Arab States",0.131
"Morocco","Arab States",0.049
"Morocco","Arab States",0.003
"Morocco","Arab States",0.016
"Morocco","Arab States",0.06
"Morocco","Arab States",0.07
"Morocco","Arab States",0.037
"Morocco","Arab States",0.042
"Morocco","Arab States",0.123
"Morocco","Arab States",0.083
"Madagascar","Sub-Saharan Africa",0.178
"Madagascar","Sub-Saharan Africa",0.357
"Madagascar","Sub-Saharan Africa",0.397
"Madagascar","Sub-Saharan Africa",0.319
"Madagascar","Sub-Saharan Africa",0.4
"Madagascar","Sub-Saharan Africa",0.409
"Madagascar","Sub-Saharan Africa",0.514
"Madagascar","Sub-Saharan Africa",0.448
"Madagascar","Sub-Saharan Africa",0.531
"Madagascar","Sub-Saharan Africa",0.269
"Madagascar","Sub-Saharan Africa",0.383
"Madagascar","Sub-Saharan Africa",0.309
"Madagascar","Sub-Saharan Africa",0.31
"Madagascar","Sub-Saharan Africa",0.32
"Madagascar","Sub-Saharan Africa",0.433
"Madagascar","Sub-Saharan Africa",0.509
"Madagascar","Sub-Saharan Africa",0.427
"Madagascar","Sub-Saharan Africa",0.547
"Madagascar","Sub-Saharan Africa",0.486
"Madagascar","Sub-Saharan Africa",0.417
"Madagascar","Sub-Saharan Africa",0.294
"Madagascar","Sub-Saharan Africa",0.327
"Mali","Sub-Saharan Africa",0.485
"Mali","Sub-Saharan Africa",0.44
"Mali","Sub-Saharan Africa",0.484
"Mali","Sub-Saharan Africa",0.498
"Mali","Sub-Saharan Africa",0.594
"Mali","Sub-Saharan Africa",0.168
"Myanmar","East Asia and the Pacific",0.171
"Myanmar","East Asia and the Pacific",0.129
"Myanmar","East Asia and the Pacific",0.152
"Myanmar","East Asia and the Pacific",0.083
"Myanmar","East Asia and the Pacific",0.099
"Myanmar","East Asia and the Pacific",0.183
"Myanmar","East Asia and the Pacific",0.114
"Myanmar","East Asia and the Pacific",0.099
"Myanmar","East Asia and the Pacific",0.109
"Myanmar","East Asia and the Pacific",0.11
"Myanmar","East Asia and the Pacific",0.258
"Myanmar","East Asia and the Pacific",0.134
"Myanmar","East Asia and the Pacific",0.194
"Myanmar","East Asia and the Pacific",0.129
"Myanmar","East Asia and the Pacific",0.051
"Mongolia","East Asia and the Pacific",0.041
"Mongolia","East Asia and the Pacific",0.044
"Mongolia","East Asia and the Pacific",0.075
"Mongolia","East Asia and the Pacific",0.006
"Mongolia","East Asia and the Pacific",0.09
"Mozambique","Sub-Saharan Africa",0.443
"Mozambique","Sub-Saharan Africa",0.525
"Mozambique","Sub-Saharan Africa",0.4
"Mozambique","Sub-Saharan Africa",0.528
"Mozambique","Sub-Saharan Africa",0.466
"Mozambique","Sub-Saharan Africa",0.301
"Mozambique","Sub-Saharan Africa",0.381
"Mozambique","Sub-Saharan Africa",0.295
"Mozambique","Sub-Saharan Africa",0.306
"Mozambique","Sub-Saharan Africa",0.133
"Mozambique","Sub-Saharan Africa",0.043
"Mauritania","Sub-Saharan Africa",0.412
"Mauritania","Sub-Saharan Africa",0.438
"Mauritania","Sub-Saharan Africa",0.419
"Mauritania","Sub-Saharan Africa",0.46
"Mauritania","Sub-Saharan Africa",0.307
"Mauritania","Sub-Saharan Africa",0.181
"Mauritania","Sub-Saharan Africa",0.184
"Mauritania","Sub-Saharan Africa",0.039
"Mauritania","Sub-Saharan Africa",0.322
"Mauritania","Sub-Saharan Africa",0.499
"Mauritania","Sub-Saharan Africa",0.085
"Mauritania","Sub-Saharan Africa",0.102
"Malawi","Sub-Saharan Africa",0.283
"Malawi","Sub-Saharan Africa",0.118
"Malawi","Sub-Saharan Africa",0.245
"Malawi","Sub-Saharan Africa",0.292
"Malawi","Sub-Saharan Africa",0.161
"Malawi","Sub-Saharan Africa",0.241
"Malawi","Sub-Saharan Africa",0.314
"Malawi","Sub-Saharan Africa",0.267
"Malawi","Sub-Saharan Africa",0.204
"Malawi","Sub-Saharan Africa",0.244
"Malawi","Sub-Saharan Africa",0.114
"Malawi","Sub-Saharan Africa",0.092
"Malawi","Sub-Saharan Africa",0.286
"Malawi","Sub-Saharan Africa",0.322
"Malawi","Sub-Saharan Africa",0.302
"Malawi","Sub-Saharan Africa",0.314
"Malawi","Sub-Saharan Africa",0.286
"Malawi","Sub-Saharan Africa",0.254
"Malawi","Sub-Saharan Africa",0.205
"Malawi","Sub-Saharan Africa",0.034
"Malawi","Sub-Saharan Africa",0.285
"Malawi","Sub-Saharan Africa",0.316
"Malawi","Sub-Saharan Africa",0.215
"Malawi","Sub-Saharan Africa",0.245
"Malawi","Sub-Saharan Africa",0.211
"Malawi","Sub-Saharan Africa",0.259
"Malawi","Sub-Saharan Africa",0.293
"Malawi","Sub-Saharan Africa",0.205
"Malawi","Sub-Saharan Africa",0.334
"Malawi","Sub-Saharan Africa",0.259
"Malawi","Sub-Saharan Africa",0.053
"Malawi","Sub-Saharan Africa",0.27
"Namibia","Sub-Saharan Africa",0.174
"Namibia","Sub-Saharan Africa",0.044
"Namibia","Sub-Saharan Africa",0.103
"Namibia","Sub-Saharan Africa",0.098
"Namibia","Sub-Saharan Africa",0.373
"Namibia","Sub-Saharan Africa",0.06
"Namibia","Sub-Saharan Africa",0.238
"Namibia","Sub-Saharan Africa",0.348
"Namibia","Sub-Saharan Africa",0.232
"Namibia","Sub-Saharan Africa",0.283
"Namibia","Sub-Saharan Africa",0.156
"Namibia","Sub-Saharan Africa",0.218
"Namibia","Sub-Saharan Africa",0.116
"Niger","Sub-Saharan Africa",0.405
"Niger","Sub-Saharan Africa",0.556
"Niger","Sub-Saharan Africa",0.62
"Niger","Sub-Saharan Africa",0.664
"Niger","Sub-Saharan Africa",0.646
"Niger","Sub-Saharan Africa",0.609
"Niger","Sub-Saharan Africa",0.641
"Niger","Sub-Saharan Africa",0.206
"Nigeria","Sub-Saharan Africa",0.548
"Nigeria","Sub-Saharan Africa",0.605
"Nigeria","Sub-Saharan Africa",0.52
"Nigeria","Sub-Saharan Africa",0.552
"Nigeria","Sub-Saharan Africa",0.635
"Nigeria","Sub-Saharan Africa",0.401
"Nigeria","Sub-Saharan Africa",0.295
"Nigeria","Sub-Saharan Africa",0.471
"Nigeria","Sub-Saharan Africa",0.583
"Nigeria","Sub-Saharan Africa",0.434
"Nigeria","Sub-Saharan Africa",0.311
"Nigeria","Sub-Saharan Africa",0.553
"Nigeria","Sub-Saharan Africa",0.324
"Nigeria","Sub-Saharan Africa",0.108
"Nigeria","Sub-Saharan Africa",0.251
"Nigeria","Sub-Saharan Africa",0.273
"Nigeria","Sub-Saharan Africa",0.448
"Nigeria","Sub-Saharan Africa",0.28
"Nigeria","Sub-Saharan Africa",0.113
"Nigeria","Sub-Saharan Africa",0.099
"Nigeria","Sub-Saharan Africa",0.155
"Nigeria","Sub-Saharan Africa",0.043
"Nigeria","Sub-Saharan Africa",0.051
"Nigeria","Sub-Saharan Africa",0.127
"Nigeria","Sub-Saharan Africa",0.08
"Nigeria","Sub-Saharan Africa",0.05
"Nigeria","Sub-Saharan Africa",0.123
"Nigeria","Sub-Saharan Africa",0.265
"Nigeria","Sub-Saharan Africa",0.146
"Nigeria","Sub-Saharan Africa",0.099
"Nigeria","Sub-Saharan Africa",0.088
"Nigeria","Sub-Saharan Africa",0.083
"Nigeria","Sub-Saharan Africa",0.088
"Nigeria","Sub-Saharan Africa",0.12
"Nigeria","Sub-Saharan Africa",0.107
"Nigeria","Sub-Saharan Africa",0.035
"Nigeria","Sub-Saharan Africa",0.112
"Nicaragua","Latin America and Caribbean",0.113
"Nicaragua","Latin America and Caribbean",0.195
"Nicaragua","Latin America and Caribbean",0.104
"Nicaragua","Latin America and Caribbean",0.048
"Nicaragua","Latin America and Caribbean",0.047
"Nicaragua","Latin America and Caribbean",0.031
"Nicaragua","Latin America and Caribbean",0.099
"Nicaragua","Latin America and Caribbean",0.13
"Nicaragua","Latin America and Caribbean",0.021
"Nicaragua","Latin America and Caribbean",0.017
"Nicaragua","Latin America and Caribbean",0.082
"Nicaragua","Latin America and Caribbean",0.035
"Nicaragua","Latin America and Caribbean",0.025
"Nicaragua","Latin America and Caribbean",0.036
"Nicaragua","Latin America and Caribbean",0.133
"Nicaragua","Latin America and Caribbean",0.173
"Nicaragua","Latin America and Caribbean",0.132
"Nepal","South Asia",0.05
"Nepal","South Asia",0.094
"Nepal","South Asia",0.199
"Nepal","South Asia",0.063
"Nepal","South Asia",0.133
"Nepal","South Asia",0.13
"Nepal","South Asia",0.226
"Nepal","South Asia",0.144
"Nepal","South Asia",0.092
"Nepal","South Asia",0.213
"Nepal","South Asia",0.286
"Nepal","South Asia",0.134
"Nepal","South Asia",0.072
"Nepal","South Asia",0.112
"Nepal","South Asia",0.104
"Pakistan","South Asia",0.184
"Pakistan","South Asia",0.294
"Pakistan","South Asia",0.247
"Pakistan","South Asia",0.402
"Pakistan","South Asia",0.233
"Pakistan","South Asia",0.039
"Peru","Latin America and Caribbean",0.096
"Peru","Latin America and Caribbean",0.044
"Peru","Latin America and Caribbean",0.091
"Peru","Latin America and Caribbean",0.009
"Peru","Latin America and Caribbean",0.071
"Peru","Latin America and Caribbean",0.089
"Peru","Latin America and Caribbean",0
"Peru","Latin America and Caribbean",0.062
"Peru","Latin America and Caribbean",0.122
"Peru","Latin America and Caribbean",0.111
"Peru","Latin America and Caribbean",0.009
"Peru","Latin America and Caribbean",0.042
"Peru","Latin America and Caribbean",0.042
"Peru","Latin America and Caribbean",0.038
"Peru","Latin America and Caribbean",0.004
"Peru","Latin America and Caribbean",0.147
"Peru","Latin America and Caribbean",0.024
"Peru","Latin America and Caribbean",0.014
"Peru","Latin America and Caribbean",0.064
"Peru","Latin America and Caribbean",0.05
"Peru","Latin America and Caribbean",0.069
"Peru","Latin America and Caribbean",0.061
"Peru","Latin America and Caribbean",0.008
"Peru","Latin America and Caribbean",0.014
"Peru","Latin America and Caribbean",0.046
"Philippines","East Asia and the Pacific",0.026
"Philippines","East Asia and the Pacific",0.039
"Philippines","East Asia and the Pacific",0.027
"Philippines","East Asia and the Pacific",0.039
"Philippines","East Asia and the Pacific",0.035
"Philippines","East Asia and the Pacific",0.029
"Philippines","East Asia and the Pacific",0.091
"Philippines","East Asia and the Pacific",0.068
"Philippines","East Asia and the Pacific",0.055
"Philippines","East Asia and the Pacific",0.055
"Philippines","East Asia and the Pacific",0.054
"Philippines","East Asia and the Pacific",0.075
"Philippines","East Asia and the Pacific",0.093
"Philippines","East Asia and the Pacific",0.066
"Philippines","East Asia and the Pacific",0.09
"Philippines","East Asia and the Pacific",0.069
"Philippines","East Asia and the Pacific",0.14
"Rwanda","Sub-Saharan Africa",0.292
"Rwanda","Sub-Saharan Africa",0.118
"Rwanda","Sub-Saharan Africa",0.243
"Rwanda","Sub-Saharan Africa",0.295
"Rwanda","Sub-Saharan Africa",0.266
"Sudan","Arab States",0.382
"Sudan","Arab States",0.501
"Sudan","Arab States",0.481
"Sudan","Arab States",0.404
"Sudan","Arab States",0.165
"Sudan","Arab States",0.362
"Sudan","Arab States",0.077
"Sudan","Arab States",0.447
"Sudan","Arab States",0.328
"Sudan","Arab States",0.047
"Sudan","Arab States",0.223
"Sudan","Arab States",0.092
"Sudan","Arab States",0.277
"Sudan","Arab States",0.42
"Sudan","Arab States",0.422
"Sudan","Arab States",0.458
"Sudan","Arab States",0.468
"Sudan","Arab States",0.267
"Senegal","Sub-Saharan Africa",0.449
"Senegal","Sub-Saharan Africa",0.373
"Senegal","Sub-Saharan Africa",0.156
"Senegal","Sub-Saharan Africa",0.425
"Sierra Leone","Sub-Saharan Africa",0.537
"Sierra Leone","Sub-Saharan Africa",0.477
"Sierra Leone","Sub-Saharan Africa",0.511
"Sierra Leone","Sub-Saharan Africa",0.423
"Sierra Leone","Sub-Saharan Africa",0.58
"Sierra Leone","Sub-Saharan Africa",0.601
"Sierra Leone","Sub-Saharan Africa",0.522
"Sierra Leone","Sub-Saharan Africa",0.541
"Sierra Leone","Sub-Saharan Africa",0.449
"Sierra Leone","Sub-Saharan Africa",0.478
"Sierra Leone","Sub-Saharan Africa",0.569
"Sierra Leone","Sub-Saharan Africa",0.537
"Sierra Leone","Sub-Saharan Africa",0.319
"Sierra Leone","Sub-Saharan Africa",0.191
"El Salvador","Latin America and Caribbean",0.03
"El Salvador","Latin America and Caribbean",0.046
"El Salvador","Latin America and Caribbean",0.036
"El Salvador","Latin America and Caribbean",0.025
"El Salvador","Latin America and Caribbean",0.017
"El Salvador","Latin America and Caribbean",0.03
"El Salvador","Latin America and Caribbean",0.054
"El Salvador","Latin America and Caribbean",0.04
"El Salvador","Latin America and Caribbean",0.03
"El Salvador","Latin America and Caribbean",0.01
"El Salvador","Latin America and Caribbean",0.02
"El Salvador","Latin America and Caribbean",0.027
"El Salvador","Latin America and Caribbean",0.046
"El Salvador","Latin America and Caribbean",0.03
"South Sudan","Sub-Saharan Africa",0.503
"South Sudan","Sub-Saharan Africa",0.628
"South Sudan","Sub-Saharan Africa",0.661
"South Sudan","Sub-Saharan Africa",0.652
"South Sudan","Sub-Saharan Africa",0.491
"South Sudan","Sub-Saharan Africa",0.605
"South Sudan","Sub-Saharan Africa",0.456
"South Sudan","Sub-Saharan Africa",0.391
"South Sudan","Sub-Saharan Africa",0.561
"Sao Tome and Principe","Sub-Saharan Africa",0.092
"Sao Tome and Principe","Sub-Saharan Africa",0.059
"Sao Tome and Principe","Sub-Saharan Africa",0.132
"Sao Tome and Principe","Sub-Saharan Africa",0.117
"Suriname","Latin America and Caribbean",0.007
"Suriname","Latin America and Caribbean",0.013
"Suriname","Latin America and Caribbean",0.012
"Suriname","Latin America and Caribbean",0.006
"Suriname","Latin America and Caribbean",0.011
"Suriname","Latin America and Caribbean",0.008
"Suriname","Latin America and Caribbean",0.026
"Suriname","Latin America and Caribbean",0.023
"Suriname","Latin America and Caribbean",0.057
"Suriname","Latin America and Caribbean",0.172
"Swaziland","Sub-Saharan Africa",0.054
"Swaziland","Sub-Saharan Africa",0.098
"Swaziland","Sub-Saharan Africa",0.041
"Swaziland","Sub-Saharan Africa",0.101
"Syrian Arab Republic","Arab States",0.003
"Syrian Arab Republic","Arab States",0.026
"Syrian Arab Republic","Arab States",0.009
"Syrian Arab Republic","Arab States",0.007
"Syrian Arab Republic","Arab States",0.01
"Syrian Arab Republic","Arab States",0.004
"Syrian Arab Republic","Arab States",0.019
"Syrian Arab Republic","Arab States",0.028
"Syrian Arab Republic","Arab States",0.047
"Syrian Arab Republic","Arab States",0
"Syrian Arab Republic","Arab States",0.028
"Syrian Arab Republic","Arab States",0.011
"Syrian Arab Republic","Arab States",0.002
"Syrian Arab Republic","Arab States",0.011
"Chad","Sub-Saharan Africa",0.654
"Chad","Sub-Saharan Africa",0.659
"Chad","Sub-Saharan Africa",0.537
"Chad","Sub-Saharan Africa",0.646
"Chad","Sub-Saharan Africa",0.625
"Chad","Sub-Saharan Africa",0.643
"Chad","Sub-Saharan Africa",0.654
"Chad","Sub-Saharan Africa",0.696
"Chad","Sub-Saharan Africa",0.744
"Chad","Sub-Saharan Africa",0.44
"Chad","Sub-Saharan Africa",0.504
"Chad","Sub-Saharan Africa",0.529
"Chad","Sub-Saharan Africa",0.509
"Chad","Sub-Saharan Africa",0.479
"Chad","Sub-Saharan Africa",0.411
"Chad","Sub-Saharan Africa",0.257
"Chad","Sub-Saharan Africa",0.683
"Chad","Sub-Saharan Africa",0.678
"Chad","Sub-Saharan Africa",0.697
"Chad","Sub-Saharan Africa",0.487
"Chad","Sub-Saharan Africa",0.709
"Togo","Sub-Saharan Africa",0.067
"Togo","Sub-Saharan Africa",0.243
"Togo","Sub-Saharan Africa",0.325
"Togo","Sub-Saharan Africa",0.236
"Togo","Sub-Saharan Africa",0.324
"Togo","Sub-Saharan Africa",0.439
"Tajikistan","Europe and Central Asia",0.021
"Tajikistan","Europe and Central Asia",0.048
"Tajikistan","Europe and Central Asia",0.033
"Tajikistan","Europe and Central Asia",0.045
"Tajikistan","Europe and Central Asia",0.086
"Timor-Leste","East Asia and the Pacific",0.379
"Timor-Leste","East Asia and the Pacific",0.444
"Timor-Leste","East Asia and the Pacific",0.357
"Timor-Leste","East Asia and the Pacific",0.406
"Timor-Leste","East Asia and the Pacific",0.31
"Timor-Leste","East Asia and the Pacific",0.127
"Timor-Leste","East Asia and the Pacific",0.497
"Timor-Leste","East Asia and the Pacific",0.387
"Timor-Leste","East Asia and the Pacific",0.373
"Timor-Leste","East Asia and the Pacific",0.353
"Timor-Leste","East Asia and the Pacific",0.295
"Timor-Leste","East Asia and the Pacific",0.508
"Timor-Leste","East Asia and the Pacific",0.41
"Trinidad and Tobago","Latin America and Caribbean",0.023
"Trinidad and Tobago","Latin America and Caribbean",0.026
"Trinidad and Tobago","Latin America and Caribbean",0.02
"Trinidad and Tobago","Latin America and Caribbean",0.016
"Trinidad and Tobago","Latin America and Caribbean",0.019
"Tanzania, United Republic of","Sub-Saharan Africa",0.332
"Tanzania, United Republic of","Sub-Saharan Africa",0.145
"Tanzania, United Republic of","Sub-Saharan Africa",0.346
"Tanzania, United Republic of","Sub-Saharan Africa",0.2
"Tanzania, United Republic of","Sub-Saharan Africa",0.312
"Tanzania, United Republic of","Sub-Saharan Africa",0.296
"Tanzania, United Republic of","Sub-Saharan Africa",0.226
"Tanzania, United Republic of","Sub-Saharan Africa",0.397
"Tanzania, United Republic of","Sub-Saharan Africa",0.143
"Uganda","Sub-Saharan Africa",0.076
"Uganda","Sub-Saharan Africa",0.3
"Uganda","Sub-Saharan Africa",0.294
"Uganda","Sub-Saharan Africa",0.371
"Uganda","Sub-Saharan Africa",0.417
"Uganda","Sub-Saharan Africa",0.431
"Uganda","Sub-Saharan Africa",0.634
"Uganda","Sub-Saharan Africa",0.484
"Uganda","Sub-Saharan Africa",0.346
"Uganda","Sub-Saharan Africa",0.4
"Uzbekistan","Europe and Central Asia",0.007
"Uzbekistan","Europe and Central Asia",0.011
"Uzbekistan","Europe and Central Asia",0.016
"Uzbekistan","Europe and Central Asia",0.004
"Uzbekistan","Europe and Central Asia",0.006
"Uzbekistan","Europe and Central Asia",0.001
"Viet Nam","East Asia and the Pacific",0.013
"Viet Nam","East Asia and the Pacific",0.064
"Viet Nam","East Asia and the Pacific",0.024
"Viet Nam","East Asia and the Pacific",0.057
"Viet Nam","East Asia and the Pacific",0.017
"Viet Nam","East Asia and the Pacific",0.03
"Yemen","Arab States",0.2
"Yemen","Arab States",0.136
"Yemen","Arab States",0.057
"Yemen","Arab States",0.191
"Yemen","Arab States",0.207
"Yemen","Arab States",0.214
"Yemen","Arab States",0.447
"Yemen","Arab States",0.343
"Yemen","Arab States",0.12
"Yemen","Arab States",0.325
"Yemen","Arab States",0.163
"Yemen","Arab States",0.278
"Yemen","Arab States",0.255
"Yemen","Arab States",0.062
"Yemen","Arab States",0.176
"Yemen","Arab States",0.214
"Yemen","Arab States",0.349
"Yemen","Arab States",0.105
"Yemen","Arab States",0.322
"Yemen","Arab States",0.2
"Yemen","Arab States",0.381
"Zambia","Sub-Saharan Africa",0.292
"Zambia","Sub-Saharan Africa",0.158
"Zambia","Sub-Saharan Africa",0.369
"Zambia","Sub-Saharan Africa",0.392
"Zambia","Sub-Saharan Africa",0.112
"Zambia","Sub-Saharan Africa",0.368
"Zambia","Sub-Saharan Africa",0.397
"Zambia","Sub-Saharan Africa",0.334
"Zambia","Sub-Saharan Africa",0.301
"Zambia","Sub-Saharan Africa",0.399
"Zimbabwe","Sub-Saharan Africa",0.014
"Zimbabwe","Sub-Saharan Africa",0.038
"Zimbabwe","Sub-Saharan Africa",0.168
"Zimbabwe","Sub-Saharan Africa",0.21
"Zimbabwe","Sub-Saharan Africa",0.14
"Zimbabwe","Sub-Saharan Africa",0.192
"Zimbabwe","Sub-Saharan Africa",0.174
"Zimbabwe","Sub-Saharan Africa",0.238
"Zimbabwe","Sub-Saharan Africa",0.164
"Zimbabwe","Sub-Saharan Africa",0.176
