citricacid,sugar,chlorides,density,sulphates,alcohol,quality
0.19,5.8,0.111,0.99878,0.55,9.4,5
0.46,2.1,0.074,0.99534,0.85,11,7
0.46,2.1,0.074,0.99534,0.85,11,7
0.46,2.1,0.074,0.99534,0.85,11,7
0.55,1.7,0.136,0.99752,0.94,10,5
0.46,2.1,0.074,0.99534,0.85,11,7
0.43,2,0.071,0.99428,0.87,11.2,7
0.02,2.1,0.078,0.99498,0.62,10.4,6
0.15,2.1,0.076,0.9957,0.62,9.3,5
0.02,2.1,0.078,0.99498,0.62,10.4,6
0.42,1.9,0.071,0.99659,0.75,10.5,6
0.46,1.9,0.081,0.99628,0.48,10.4,6
0.46,2.1,0.095,0.99488,0.56,11.3,6
0.31,2,0.079,0.99677,0.69,9.5,6
0.37,1.9,0.057,0.99408,0.81,12,6
0.31,1.9,0.082,0.996,0.69,10.6,6
0.4,1.3,0.044,0.99478,0.83,10.9,6
0.52,1.8,0.132,0.99734,0.77,11.5,6
0.52,1.8,0.132,0.99734,0.77,11.5,6
0.22,2.2,0.078,0.99678,0.46,9.6,6
0.47,2.2,0.074,0.99638,0.76,12,6
0.49,2.5,0.08,0.9992,0.82,10.3,6
0.23,2.6,0.091,0.99922,0.51,9.4,5
0.03,4.1,0.08,0.99592,0.47,9.2,5
0.25,2,0.104,0.99769,0.72,9.6,5
0,1.8,0.044,0.99157,0.73,13.6,7
0.29,2.1,0.075,0.99718,0.64,9.5,5
0.34,2.7,0.066,0.9947,0.78,11.8,6
0.01,2.6,0.074,0.99621,0.62,10.8,5
0.29,2.1,0.075,0.99718,0.64,9.5,5
0.37,2.2,0.057,0.99614,0.49,9.3,4
0.01,2.2,0.059,0.99242,0.4,12.8,6
0.32,12.9,0.054,0.99572,0.56,11.5,4
0,1.7,0.07,0.99659,0.64,9.4,6
0.01,2.2,0.059,0.99242,0.4,12.8,6
0,2.5,0.081,0.99798,0.46,9.6,4
0,4.3,0.057,0.99488,0.56,11.8,4
0.2,1.7,0.076,0.99494,0.4,9.3,5
0.39,2.5,0.079,0.99729,0.59,9.8,5
0.41,2,0.058,0.99414,0.6,12.2,6
0.22,2.4,0.082,0.9983,0.62,9.5,5
0.25,13.4,0.067,0.99721,0.54,10.3,6
0.19,1.8,0.082,0.99655,0.68,10.5,5
0.07,1.7,0.086,0.99502,0.48,10,5
0.19,1.8,0.082,0.99655,0.68,10.5,5
0.33,2.2,0.081,0.9949,0.75,11.1,6
0.01,2.3,0.079,0.99514,0.61,10.9,6
0.01,2.3,0.079,0.99514,0.61,10.9,6
0.14,2.2,0.077,0.9963,0.59,9.8,5
0,1.8,0.123,0.99627,0.58,9.8,5
0,1.4,0.096,0.99569,0.58,9.5,5
0.06,1.9,0.079,0.99628,0.69,10.9,5
0.02,2.4,0.069,0.99358,0.45,11,5
0.22,1.8,0.082,0.99499,0.42,9.2,5
0.28,4.8,0.085,0.99633,0.7,11,6
0,2.7,0.123,0.99538,0.63,11.3,6
0,2.7,0.123,0.99538,0.63,11.3,6
0.68,1.8,0.403,0.99632,1.15,9.3,5
0,2,0.083,0.99437,0.55,11.2,4
0.38,2.5,0.081,0.99726,0.58,9.8,5
0,2.2,0.089,0.9978,0.46,9.6,4
0.32,1.8,0.066,0.99456,0.72,11.8,6
0.05,2.3,0.081,0.99564,0.6,10.3,6
0.05,2.3,0.081,0.99564,0.6,10.3,6
0.5,2.3,0.068,0.996,0.87,11.4,6
0.31,2,0.079,0.99668,0.55,9.5,6
0.03,1.8,0.044,0.9908,0.82,14,8
0.01,1.6,0.048,0.99084,0.75,14,6
0.2,1.6,0.049,0.9935,0.57,11.7,6
0,1.9,0.077,0.99385,0.53,11.2,5
0.2,2,0.073,0.99494,0.43,9.3,5
0.13,2.1,0.102,0.9944,0.53,11.2,6
0.22,2.3,0.075,0.99688,0.54,9.5,6
0.4,6.3,0.05,0.99566,0.56,12,4
0,1.9,0.114,0.99636,0.6,9.7,6
0.22,2.3,0.075,0.99688,0.54,9.5,6
0.39,1.7,0.062,0.9948,0.57,11.5,7
0.2,1.9,0.077,0.9956,0.64,10.4,6
0.2,1.9,0.077,0.9956,0.64,10.4,6
0,2,0.084,0.99619,0.68,10.9,6
0.28,2.7,0.096,0.99734,0.63,10.2,6
0.19,2.3,0.071,0.99476,0.56,10.9,5
0.5,1.8,0.09,0.99734,0.57,10.5,5
0.44,2.5,0.068,0.99328,0.54,12.4,6
0.08,2.6,0.056,0.99286,0.37,13,5
0.3,4.5,0.068,0.99914,1.17,10.2,5
0.3,4.5,0.068,0.99914,1.17,10.2,5
0,1.9,0.1,0.99521,0.59,11,5
0.1,2.1,0.073,0.99638,0.75,10.9,6
0.13,2.4,0.056,0.99362,0.67,12.4,6
0,1.9,0.084,0.99672,0.49,9.7,4
0.1,2.1,0.073,0.99638,0.75,10.9,6
0,4.3,0.093,0.99558,0.45,9.5,5
0,4.3,0.093,0.99558,0.45,9.5,5
0.14,2.1,0.064,0.99323,0.61,12.1,6
0,1.4,0.063,0.99191,0.56,12.2,6
0,2.1,0.137,0.99476,0.4,10.9,3
0,2.15,0.08,0.99444,0.61,12.5,6
0.07,2,0.1,0.99598,0.74,11.7,6
0.32,2.1,0.064,0.99576,0.8,11.2,6
0.44,1.8,0.081,0.99501,0.66,11.2,5
0.21,2.3,0.087,0.9955,0.44,9.2,5
0.26,1.9,0.073,0.99612,0.53,9.8,5
0.32,2.5,0.088,0.9979,0.62,10.1,5
0.09,3.9,0.068,0.99524,0.52,11.1,4
0.32,2.5,0.088,0.9979,0.62,10.1,5
0.1,1.4,0.071,0.996,0.61,9.2,5
0.26,1.9,0.073,0.99612,0.53,9.8,5
0.15,3,0.064,0.9929,0.59,12.8,6
0.21,1.9,0.083,0.99532,0.47,10.5,5
0.21,2.3,0.086,0.99558,0.54,10.1,6
0.21,2.4,0.086,0.99556,0.53,10.1,6
0.27,2,0.083,0.99616,0.58,9.8,6
0,1.2,0.041,0.99258,0.59,12.5,6
0.46,2.2,0.091,0.99638,0.69,11.9,6
0.27,2,0.083,0.99616,0.58,9.8,6
0.68,1.7,0.414,0.99652,1.33,9.1,6
0.34,2.6,0.094,0.99796,0.66,10.1,5
0,1.2,0.041,0.99258,0.59,12.5,6
0.42,1.8,0.058,0.99392,0.55,11.4,5
0.39,1.8,0.06,0.99495,0.82,11,7
0.24,1.7,0.077,0.9948,0.6,10.6,6
0.24,1.7,0.077,0.9948,0.6,10.6,6
0.24,1.7,0.077,0.9948,0.6,10.6,6
0.24,1.7,0.077,0.9948,0.6,10.6,6
0.11,1.8,0.073,0.9955,0.52,9.3,5
0.26,2.1,0.083,0.99616,0.56,9.8,6
0.26,2.1,0.083,0.99616,0.56,9.8,6
0.26,3.8,0.107,0.99668,0.46,9.2,5
0.1,1.7,0.075,0.99581,0.43,9.7,6
0.22,2.2,0.079,0.9976,0.51,9.6,5
0,2,0.166,0.99608,0.52,10,5
0.02,2.4,0.069,0.99387,0.66,12.6,6
0,1.4,0.057,0.99448,0.45,9.5,5
0,1.4,0.057,0.99448,0.45,9.5,5
0,1.4,0.057,0.99448,0.45,9.5,5
0.02,1.7,0.084,0.99538,0.54,10.5,6
0.02,1.7,0.084,0.99538,0.54,10.5,6
0.02,1.7,0.084,0.99538,0.54,10.5,6
0.02,1.7,0.085,0.99589,0.51,10.4,6
0.02,1.7,0.084,0.99538,0.54,10.5,6
0.48,2.6,0.077,0.99852,0.53,11,5
0.24,2.3,0.063,0.99613,0.53,10.2,6
0.01,2.1,0.056,0.99472,0.56,11.4,5
0.03,1.8,0.078,0.99587,0.39,9.5,5
0.03,1.8,0.078,0.99587,0.39,9.5,5
0,2.8,0.081,0.99518,0.52,10.8,5
0.29,2,0.069,0.99654,0.57,10,5
0.01,2.3,0.065,0.99332,0.51,11.8,6
0.03,1.9,0.086,0.9969,0.46,10.3,5
0.03,1.9,0.086,0.9969,0.46,10.3,5
0.03,2.3,0.077,0.99568,0.52,10,5
0.25,1.8,0.086,0.99464,0.44,10.1,5
0.25,1.8,0.084,0.99464,0.44,10.1,5
0.24,2.5,0.078,0.99648,0.59,11.1,6
0.17,5.4,0.168,0.99736,0.5,9.5,5
0.4,1.4,0.091,0.99704,0.65,10.03333333,6
0.31,2.3,0.112,0.99699,0.56,10.9,5
0.14,2.5,0.093,0.99724,0.54,10.1,5
0.4,1.4,0.091,0.99704,0.65,10.03333333,6
0.27,2,0.08,0.99652,0.48,9.8,4
0.02,1.9,0.096,0.995,0.53,11.8,6
0.09,2.2,0.115,0.9971,0.62,9.5,5
0.08,1.7,0.094,0.99576,0.5,9.8,5
0.3,2.2,0.088,0.99725,1.18,10.5,6
0.32,2.1,0.079,0.99656,0.5,9.8,6
0,1.6,0.069,0.99396,0.37,10.4,4
0.51,1.7,0.415,0.99623,1.17,9.2,5
0.56,3.1,0.153,0.99476,1.03,11.6,6
0.51,1.7,0.415,0.99623,1.17,9.2,5
0.27,3.8,0.11,0.99664,0.45,9.3,5
0,1.2,0.267,0.99471,0.51,9.8,3
0.26,2,0.083,0.99586,0.52,9.9,5
0.2,1.4,0.086,0.9946,0.46,10,5
0.26,2.3,0.09,0.9953,0.62,12.2,6
0.15,2,0.078,0.99609,0.51,9.9,6
0.02,2.6,0.077,0.99557,0.62,10.8,6
0.02,2.6,0.077,0.99557,0.62,10.8,6
0.09,1.8,0.074,0.99534,0.45,9.6,5
0.22,2.1,0.08,0.99613,0.49,9.9,5
0.22,2.1,0.08,0.99613,0.49,9.9,5
0.15,1.8,0.107,0.99593,0.5,9.5,5
0.25,3.4,0.076,0.99668,0.42,9.2,5
0.07,1.8,0.1,0.9961,0.58,9.6,5
0.07,1.8,0.1,0.9961,0.58,9.6,5
0.31,6.1,0.083,0.99718,0.68,10.3,5
0.02,2.2,0.08,0.99524,0.53,9.7,5
0,2.3,0.068,0.99292,0.59,12.5,6
0.22,2.4,0.094,0.99612,0.58,11,5
0.06,1.3,0.07,0.9942,0.48,9.8,5
0.25,2,0.078,0.99612,0.48,10.2,5
0.14,3.9,0.07,0.99669,0.48,9.2,5
0.1,1.6,0.092,0.99745,0.65,9.55,6
0.1,1.6,0.09,0.99745,0.65,9.55,5
0.26,2,0.08,0.99584,0.52,9.9,5
0.12,2.2,0.083,0.9966,0.62,10.2,7
0,2.2,0.068,0.9956,0.72,11.1,6
0.21,2.1,0.08,0.9962,0.51,9.9,5
0.21,2.1,0.08,0.9962,0.51,9.9,5
0.42,2,0.052,0.9963,0.82,11.9,6
0.33,1.7,0.061,0.996,1.1,10,8
0.39,2.6,0.082,0.9985,0.62,10.7,6
0.3,2,0.062,0.9952,0.9,11.3,7
0.34,5.1,0.062,0.9974,0.94,10.9,6
0,2.1,0.064,0.995,0.93,10.7,6
0.36,2.2,0.048,0.995,1.01,12.4,7
0,2.1,0.064,0.995,0.93,10.7,6
0,1.8,0.082,0.9936,0.44,11.9,6
0.4,2.4,0.071,0.9963,0.73,10.6,6
0.34,5.1,0.062,0.9974,0.94,10.9,6
0.25,2,0.104,0.9963,0.9,10.1,5
0.59,2.2,0.077,0.9994,0.78,9.6,5
0,1.6,0.065,0.9966,0.84,9.4,5
0.59,2.2,0.077,0.9994,0.78,9.6,5
0.33,2.5,0.064,0.9952,0.77,12.1,7
0.01,1.6,0.077,0.995,0.46,9.8,5
0.21,2.2,0.077,0.9956,0.45,9.9,5
0.01,1.6,0.077,0.995,0.46,9.8,5
0.18,1.6,0.079,0.9965,0.58,9.4,5
0,2.1,0.079,0.9956,0.84,11.4,6
0.09,3.9,0.123,0.9968,0.67,11,4
0.37,1.4,0.076,0.9974,0.7,9.6,6
0.37,1.4,0.076,0.9974,0.7,9.6,6
0.37,1.8,0.046,0.9971,0.71,12.1,6
0.33,2.5,0.078,0.9957,0.58,11.2,5
0,1.9,0.072,0.9962,0.63,11,5
0.4,2.2,0.049,0.996,0.93,11.3,5
0.24,1.8,0.066,0.9956,0.62,10.4,5
0.31,2.1,0.069,0.9958,0.54,9.9,6
0,1.6,0.042,0.9944,0.85,11.7,6
0.16,1.8,0.069,0.9955,0.74,10.1,7
0.37,15.4,0.214,1.00369,0.77,9,6
0.37,15.4,0.214,1.00369,0.77,9,6
0.38,1.6,0.169,0.99914,0.65,8.5,5
0.29,4.8,0.07,0.99577,0.54,11.1,5
0,1.7,0.052,0.996,0.47,10.3,5
0.02,2.2,0.072,0.99566,0.68,11.06666667,6
0.32,2,0.062,0.9947,0.73,11.3,7
0.19,5.2,0.094,0.99713,0.52,9.566666667,6
0.02,1.9,0.078,0.99712,0.75,9.8,5
0.2,1.75,0.058,0.99322,0.49,11.7,5
0.02,2.2,0.072,0.99566,0.68,11.1,6
0.19,5.2,0.094,0.99713,0.52,9.6,6
0.02,1.9,0.078,0.99712,0.75,9.8,5
0,1.9,0.08,0.99701,0.74,9.7,5
0.01,1.9,0.08,0.99683,0.73,9.7,5
0.31,2,0.056,0.99472,0.76,11.3,8
0.32,2,0.062,0.9947,0.73,11.3,7
0.44,2.7,0.104,0.99732,0.78,11,7
0.02,2,0.062,0.99374,0.76,11.6,7
0.33,1.9,0.074,0.99706,0.58,9,5
0.63,2.2,0.073,0.99974,0.69,10.9,6
0,1.6,0.052,0.99467,0.63,10.9,6
0.06,1.8,0.05,0.99236,0.5,10.55,6
0.33,1.9,0.074,0.99706,0.58,9,5
0.4,1.7,0.067,0.99603,0.6,10.5,5
0.35,1.7,0.054,0.99458,0.8,11.9,7
0.09,2.3,0.054,0.99724,0.68,10.4,6
0,2.1,0.06,0.99664,0.61,10,4
0.03,2.3,0.075,0.99545,0.58,10.4,6
0.01,2.4,0.076,0.99522,0.53,10.8,6
0.1,1.7,0.063,0.9958,0.67,9.7,5
0.1,1.7,0.063,0.9958,0.67,9.7,5
0.32,2.1,0.062,0.99728,0.65,10,7
0.08,2.3,0.067,0.99648,0.57,11,4
0.32,2.1,0.062,0.99728,0.65,10,7
0.05,2.1,0.061,0.99705,0.55,9.7,3
0.11,1.4,0.084,0.99578,0.47,9.7,5
0.08,3.75,0.067,0.99334,0.52,12.6,5
0.6,2.6,0.073,0.99656,0.79,11.1,6
0.08,1.8,0.071,0.99336,0.54,11,5
0.5,13.8,0.205,1.00242,0.75,8.8,5
0.11,2.2,0.048,0.99182,0.88,13.56666667,7
0.5,13.8,0.205,1.00242,0.75,8.8,5
0.11,2.2,0.048,0.99182,0.88,13.6,7
0.05,5.7,0.082,0.99808,0.52,10.2,3
0.6,3,0.104,0.99828,0.68,10.6,5
0.03,1.5,0.08,0.99498,0.62,10.1,4
0.6,3,0.104,0.99828,0.68,10.6,5
0.54,2.1,0.114,0.99719,0.57,10.3,4
0.44,1.5,0.042,0.99542,0.61,10.7,5
0.06,2,0.06,0.99592,0.64,10.9,4
0.16,2.1,0.074,0.99606,0.55,9.7,5
0.21,2.1,0.07,0.99546,0.6,10.3,5
0.05,1.9,0.066,0.99496,0.78,10.6,5
0.04,1.7,0.049,0.9942,0.58,11.4,5
0.1,2.1,0.048,0.99448,0.76,10.8,6
0.49,1.8,0.039,0.99344,0.56,12.4,6
0.04,1.7,0.049,0.9942,0.58,11.4,5
0.06,1.6,0.05,0.99348,0.54,11.95,5
0.26,1.9,0.089,0.99636,0.59,9.7,5
0.09,1.4,0.066,0.99459,0.7,10,7
0.02,1.9,0.08,0.99492,0.81,10.6,6
0.26,1.9,0.089,0.99636,0.59,9.7,5
0.03,2.3,0.054,0.99508,0.63,11.5,6
0.04,2.3,0.068,0.99582,0.58,10.8,6
0.03,2.3,0.054,0.99508,0.63,11.5,6
0.04,1.5,0.076,0.99508,0.53,9.6,5
0.29,4.3,0.083,0.99642,0.53,9.4,5
0.18,2.4,0.078,0.99638,0.54,9.8,5
0.39,2.5,0.077,0.99555,0.69,11,6
0.57,2.3,0.106,0.99605,0.55,11.4,6
0.02,1.8,0.078,0.996,0.63,9.95,3
0.05,2,0.07,0.99562,0.66,10.8,6
0.57,2.3,0.106,0.99605,0.55,11.4,6
0.6,2.1,0.074,0.99814,0.72,10.6,6
0.4,1.8,0.062,0.9941,0.7,11.1,5
0.21,2.2,0.047,0.99661,0.77,9.7,6
0.04,2.1,0.068,0.99712,0.67,9.8,5
0.04,2.2,0.061,0.99588,0.65,10.4,6
0.15,1.8,0.078,0.99294,0.6,10.5,6
0.21,4.1,0.074,0.99842,0.72,9.233333333,6
0.21,4.1,0.074,0.99842,0.72,9.25,6
0.25,2.3,0.071,0.99633,0.97,10.6,5
0.06,2,0.063,0.99489,0.83,10.3,6
0.46,2.2,0.114,0.99647,0.63,10.5,5
0.08,2.6,0.106,0.99665,0.58,10.2,5
0.06,2,0.063,0.99489,0.83,10.3,6
0.2,1.9,0.082,0.99585,0.43,9.05,4
0.25,2.3,0.071,0.99633,0.97,10.6,5
0.25,2,0.076,0.9953,0.6,10.4,5
0.19,2,0.075,0.99522,0.78,10,6
0.08,2.1,0.064,0.99552,0.64,9.7,5
0.08,2.2,0.064,0.99553,0.65,9.6,6
0.07,1.7,0.071,0.9951,0.66,10.8,6
0.49,2.2,0.096,0.99714,0.67,10.1,6
0.08,2.1,0.063,0.99608,0.6,10.2,6
0.09,2.2,0.063,0.99444,0.69,11.3,6
0.1,2.8,0.081,0.99631,0.66,10.2,5
0.13,2,0.058,0.99573,0.68,9.9,6
0.3,1.9,0.074,0.99717,0.61,9,5
0.14,2.4,0.064,0.99397,0.62,11.7,7
0.13,2.2,0.075,0.9959,0.59,9.7,6
0.08,1.9,0.077,0.99528,0.68,10.3,6
0.08,1.9,0.059,0.99484,0.64,10.2,6
0.09,2.5,0.081,0.99538,0.63,12,5
0.32,1.8,0.065,0.99714,0.78,9.9,5
0.08,4.4,0.071,0.99646,0.63,11.6,6
0.29,2.2,0.054,0.99666,0.76,10.9,7
0.02,1.9,0.064,0.99472,0.56,10.75,6
0.42,2.2,0.064,0.99758,0.57,10.4,6
0.43,2.3,0.063,0.9955,0.81,11.2,7
0.33,1.8,0.059,0.99531,0.64,10.1,6
0.02,2,0.072,0.99575,0.61,10.2,5
0.1,1.6,0.048,0.99306,0.51,12.1,5
0.5,2,0.099,0.99783,0.58,10.4,5
0.3,1.8,0.074,0.99419,0.7,11.4,8
0,2.3,0.087,0.99783,0.53,9.5,5
0,2.3,0.083,0.99768,0.54,9.4,5
0.01,3.7,0.103,0.99586,0.66,11.3,6
0,2.2,0.08,0.99765,0.6,9.4,5
0.02,2.4,0.062,0.99627,0.6,11,6
0.17,1.7,0.065,0.99514,0.68,10.55,7
0.04,2.2,0.066,0.99636,0.56,9.9,5
0.02,2.4,0.062,0.99627,0.6,11,6
0.33,6.7,0.235,0.99787,0.56,9.5,5
0.26,2,0.08,0.99622,0.52,9.9,5
0.26,2,0.08,0.99622,0.52,9.9,5
0.26,2,0.08,0.99622,0.52,9.9,5
0.13,2,0.076,0.99546,0.54,10.1,5
0.13,2,0.076,0.99546,0.54,10.1,5
0.13,2,0.076,0.99546,0.54,10.1,5
0.02,1.9,0.061,0.99489,0.82,10.9,6
0.64,2.1,0.059,0.99494,0.71,11.2,6
0.13,2,0.076,0.99546,0.54,10.1,5
0.13,1.6,0.077,0.99629,0.59,9.2,5
0.14,1.9,0.056,0.99396,0.57,11.5,6
0.53,2.2,0.23,0.9934,0.93,12.4,6
0.14,2.2,0.038,0.99514,0.65,11.1,6
0.32,2.2,0.069,0.99632,0.51,9.5,5
0.2,2.4,0.075,0.99467,0.67,12.5,6
0.78,13.9,0.074,0.99677,0.48,10.5,6
0.4,2.2,0.06,0.99474,0.64,11.8,6
0.63,1.6,0.081,0.99588,0.78,10.8,6
0.15,5.1,0.076,0.99622,0.6,11.9,6
0.15,1.8,0.118,0.9954,0.67,11.3,6
0.09,1.7,0.053,0.99402,0.6,11.3,5
0.33,2.4,0.068,0.9947,0.6,11.9,6
0.09,1.7,0.053,0.99402,0.6,11.3,5
0.1,2.6,0.053,0.99362,0.5,11.9,5
0.29,2.1,0.074,0.99578,0.62,9.8,5
0.44,2.4,0.061,0.99484,0.8,11.6,7
0.44,2.6,0.066,0.99494,0.84,11.5,6
0.41,2.4,0.065,0.99492,0.85,11.4,6
0.11,1.8,0.066,0.99483,0.66,10.9,6
0.33,2.5,0.068,0.99414,0.78,12.8,6
0.2,7.8,0.073,0.9977,0.54,9.2,5
0.15,1.8,0.077,0.99314,0.82,11.6,6
0.09,1.7,0.089,0.99402,0.56,11.6,6
0.13,2.3,0.076,0.99574,0.75,11,6
0.08,1.9,0.068,0.99651,0.82,9.5,6
0.08,2,0.09,0.9949,0.58,10.5,5
0.1,2.2,0.062,0.99512,0.76,11.2,6
0.13,2.3,0.076,0.99574,0.75,11,6
0.12,2,0.075,0.99547,0.71,10.2,5
0.47,3.6,0.067,0.99549,0.66,11,6