networking,wages
0,97967.25125
0,97518.56078
0,98075.42165
0,96359.14823
0,98364.23801
0,99195.62909
0,98104.76855
1,99570.02537
1,99559.77616
1,98823.49173
1,97050.75931
1,100420.3395
1,97673.7769
1,97515.10232
1,97072.02061
1,101740.7538
1,98969.96839
1,97153.31787
1,96653.12976
1,99706.16779
1,99623.57621
1,98889.01116
2,100892.1044
2,100789.1661
2,100334.6465
2,100813.2436
2,100162.0404
2,102319.4609
2,102338.3738
2,98990.9956
2,100844.6705
2,100601.9793
2,101233.863
2,98969.48805
3,100566.0413
3,101324.3822
3,102076.9801
3,103051.2269
3,100951.8366
3,101758.5081
3,103839.644
3,96436.87247
3,100100.9115
3,102742.0519
3,99726.37168
3,101496.2059
3,102560.5099
3,99978.96353
4,100894.3098
4,102155.3294
4,102224.165
4,103819.4235
4,201023.6755
4,197654.1928
4,199824.789
4,198010.3704
4,199557.1215
5,199213.8708
5,201419.5056
5,198101.3744
5,198817.1372
5,197644.767
5,198646.9284
5,200909.5928
5,198508.8442
6,197043.798
6,197780.3845
6,201404.0075
7,198235.7139
7,199792.4016
7,197977.6552
7,200754.2811
8,197289.4993
8,199747.189
8,200496.1733
8,201238.1322
8,200565.909
8,200608.9315
8,199600.6322
8,199124.5546
9,199430.1543
9,199159.0513
9,200933.1735
9,197040.2196
9,201165.8656
9,202057.1487
9,200451.5818
9,197983.3366
9,203545.2009
9,201018.5469
10,200670.9905
10,201520.3107
10,202769.5837
10,202045.3474
10,202626.5269
10,203117.6535
10,200114.8908
10,201367.6844
10,201717.3007
10,200273.9997